game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,havoc,game_loc,points_per_opp,average_field_start,power_success,second_level_yards,open_field_yards,line_yards,success_rate,explosiveness
W (48-7),0,26,40,400,2,30,159,3,5.3,70,8.0,17,6,4,27,5,42,0,0,0.242,1,5.67,78.8,1.0,21.0,40.0,75.0,0.464,1.4
W (24-14),0,27,33,269,0,44,190,3,4.3,79,5.8,13,14,2,29,6,45,0,0,0.276,1,3.0,67.5,0.556,45.0,28.0,126.0,0.564,0.89
W (27-20),2,23,35,313,1,30,107,2,3.6,63,6.7,14,5,0,19,3,30,1,1,0.172,0,4.5,73.8,0.667,31.0,16.0,79.0,0.444,1.44
W (37-20),2,29,40,261,1,39,291,3,7.5,78,7.1,13,13,0,26,4,39,1,1,0.186,0,4.63,73.0,0.778,41.0,145.0,119.0,0.506,1.23
W (30-21),0,21,33,254,2,33,131,1,4.0,65,5.9,10,9,2,21,5,60,0,0,0.159,1,5.0,73.2,1.0,34.0,34.0,87.0,0.385,1.48
W (38-10),1,25,42,316,4,40,156,1,3.9,71,6.6,16,10,1,27,2,15,1,0,0.222,0,5.43,72.9,1.0,30.0,33.0,99.0,0.5,1.51
L (24-27),1,21,39,243,0,31,78,3,2.5,60,5.4,10,7,2,19,5,56,1,0,0.172,1,4.8,74.5,0.5,17.0,8.0,63.0,0.467,1.05
W (30-3),0,26,31,280,3,31,122,1,3.9,62,6.5,18,4,4,26,5,35,0,0,0.241,1,4.43,74.4,1.0,13.0,38.0,39.0,0.5,1.57
W (31-6),4,8,28,143,2,31,169,2,5.5,44,7.1,5,10,0,15,1,10,1,3,0.385,1,3.43,57.8,1.0,34.0,45.0,110.0,0.575,1.04
W (45-7),0,16,13,187,3,51,249,3,4.9,74,5.9,10,15,1,26,0,0,0,0,0.481,0,5.63,62.4,1.0,45.0,26.0,120.0,0.644,1.13
W (52-7),0,19,21,244,4,42,163,3,3.9,64,6.4,13,9,1,23,2,20,0,0,0.432,1,6.43,55.4,0.8,28.0,16.0,77.0,0.533,1.32
W (41-13),1,24,23,335,0,34,110,5,3.2,71,6.3,15,5,2,22,1,10,1,0,0.238,1,4.86,63.4,0.75,19.0,42.0,75.0,0.448,1.28
W (31-24),1,12,23,141,0,45,150,3,3.3,68,4.3,9,9,2,20,2,25,0,1,0.159,0,3.5,62.4,0.6,25.0,9.0,130.0,0.418,1.01
W (26-0),0,22,22,147,0,34,66,2,1.9,64,3.3,9,3,1,13,3,25,0,0,0.364,1,3.71,54.5,0.5,8.0,7.0,71.0,0.4,0.88
W (37-10),0,22,36,300,3,39,158,1,4.1,75,6.1,16,7,1,24,5,40,0,0,0.176,1,3.38,62.9,0.5,22.0,34.0,51.0,0.457,1.44
W (31-10),1,11,38,131,2,31,185,1,6.0,52,6.1,6,7,0,13,6,40,1,0,0.136,1,3.4,68.8,0.5,31.0,63.0,109.0,0.442,1.15
W (40-14),1,25,21,325,1,51,336,4,6.6,86,7.7,19,14,0,33,4,34,0,1,0.194,1,3.78,73.1,1.0,64.0,127.0,139.0,0.494,1.44
W (31-24),0,25,25,219,2,37,141,2,3.8,69,5.2,10,9,0,19,6,60,0,0,0.234,0,4.8,67.8,0.833,37.0,14.0,122.0,0.464,1.04
W (33-30),3,19,35,248,1,37,230,2,6.2,74,6.5,9,9,0,18,10,67,1,2,0.211,1,2.88,65.6,0.333,45.0,83.0,113.0,0.378,1.49
W (26-16),1,23,38,281,2,34,123,0,3.6,67,6.0,12,9,2,23,7,54,1,0,0.208,0,3.29,69.1,0.667,39.0,29.0,94.0,0.446,1.01
W (49-21),1,36,32,464,4,40,198,3,5.0,87,7.6,20,12,1,33,7,67,0,1,0.234,1,5.25,77.9,1.0,31.0,51.0,77.0,0.515,1.47
W (23-3),1,21,36,237,0,31,143,2,4.6,67,5.7,12,8,2,22,5,41,0,1,0.179,0,3.83,72.3,0.571,45.0,25.0,120.0,0.493,1.02
W (63-10),2,22,33,358,4,33,204,3,6.2,60,9.4,15,9,0,24,5,40,1,1,0.422,1,7.0,65.8,0.5,16.0,41.0,64.0,0.656,1.7
W (37-17),0,19,27,320,2,33,62,1,1.9,62,6.2,15,3,3,21,10,81,0,0,0.176,1,4.6,66.2,1.0,12.0,1.0,81.0,0.417,1.34
W (20-12),1,22,38,286,1,41,79,1,1.9,76,4.8,13,6,3,22,6,54,1,0,0.176,1,2.86,70.1,0.75,15.0,2.0,73.0,0.382,1.01
W (35-16),1,19,29,189,3,29,139,1,4.8,55,6.0,7,8,0,15,5,57,0,1,0.149,0,7.0,67.0,0.75,31.0,31.0,94.0,0.455,1.25
W (37-3),0,22,30,219,2,35,215,2,6.1,67,6.5,14,8,1,23,5,43,0,0,0.345,1,5.0,71.3,1.0,31.0,73.0,83.0,0.465,1.28
W (45-24),1,24,32,359,4,34,135,2,4.0,66,7.5,13,7,2,22,7,64,0,1,0.172,1,5.43,69.9,1.0,41.0,30.0,91.0,0.47,1.59
W (31-24),0,21,56.3,289,2,20,22,1,1.1,57,5.5,10,5,1,16,7,60,0,0,0.19,0,4.25,78.3,1.0,6.0,2.0,24.0,0.368,1.54
W (41-3),0,25,62.5,344,2,34,191,3,5.6,73,7.3,14,8,0,22,6,50,0,0,0.362,1,2.86,64.0,0.8,26.0,26.0,94.0,0.419,1.29
W (41-16),0,23,56.8,382,3,30,126,2,4.2,66,7.7,15,3,2,20,9,115,0,0,0.286,0,4.86,68.4,0.0,29.0,13.0,75.0,0.491,1.39
W (27-20),0,19,72.0,265,1,31,57,2,1.8,62,5.2,12,4,1,17,3,35,0,0,0.25,1,5.4,67.2,0.5,16.0,35.0,47.0,0.355,1.51
W (24-15),0,12,64.1,134,0,31,90,3,2.9,57,3.9,7,5,4,16,5,22,0,0,0.271,0,4.8,71.1,0.5,27.0,58.0,27.0,0.291,1.51
W (56-19),0,31,42,490,6,19,78,2,4.1,61,9.3,18,3,1,22,5,60,0,0,0.208,1,7.0,68.9,0.0,20.0,38.0,45.0,0.5,1.74
W (41-7),1,29,40,536,4,33,177,1,5.4,72,9.9,18,8,3,29,11,110,0,1,0.263,0,3.73,71.2,1.0,6.0,0.0,29.0,0.688,1.31
W (31-24),1,30,39,363,0,26,111,4,4.3,66,7.2,17,8,2,27,12,125,1,0,0.162,0,3.88,67.6,0.667,21.0,27.0,79.0,0.563,1.16
W (15-7),4,27,32,275,0,13,13,0,1.0,55,5.2,11,3,3,17,5,51,2,2,0.195,1,2.25,72.5,1.0,12.0,6.0,38.0,0.444,0.97
W (52-42),1,22,40,256,2,42,316,5,7.5,72,7.9,15,10,2,27,6,52,0,1,0.079,0,5.63,68.5,1.0,65.0,126.0,151.0,0.616,1.26
W (22-20),1,13,38,162,2,25,110,1,4.4,53,5.1,8,5,1,14,10,64,1,0,0.288,0,4.2,60.1,1.0,20.0,35.0,66.0,0.34,1.21
W (34-31),1,29,42,324,2,37,157,2,4.2,78,6.2,15,9,2,26,7,50,0,1,0.083,1,5.83,71.9,0.0,26.0,10.0,75.0,0.508,1.42
W (81-7),0,33,38,381,4,34,348,7,10.2,72,10.1,21,14,3,38,2,20,0,0,0.294,1,6.6,65.6,1.0,30.0,114.0,66.0,0.722,1.56
W (55-10),0,26,44,333,4,30,227,3,7.6,64,8.8,12,13,0,25,9,76,0,0,0.323,1,5.13,65.8,0.8,40.0,47.0,85.0,0.513,1.48
W (42-6),0,28,34,298,4,28,208,2,7.4,61,8.3,13,13,0,26,2,20,0,0,0.327,0,5.0,70.3,1.0,45.0,59.0,85.0,0.617,1.37
W (38-24),0,18,35,293,2,32,248,3,7.8,57,9.5,9,9,2,20,7,45,0,0,0.169,1,4.0,69.6,0.714,42.0,105.0,112.0,0.556,1.36
W (63-19),2,35,33,444,5,36,153,4,4.3,82,7.3,18,12,2,32,9,99,1,1,0.294,1,6.3,62.7,1.0,37.0,20.0,76.0,0.569,1.25
W (49-13),2,28,44,463,7,33,140,0,4.2,69,8.7,20,10,1,31,5,45,0,2,0.355,0,5.0,73.6,1.0,19.0,5.0,62.0,0.707,1.55
L (31-34),1,21,25,239,3,20,124,1,6.2,54,6.7,11,5,1,17,2,21,0,1,0.148,1,3.88,74.6,0.833,63.0,13.0,156.0,0.5,1.11
W (38-15),0,22,30,332,3,35,146,2,4.2,65,7.4,16,9,2,27,1,5,0,0,0.127,1,3.88,70.1,1.0,33.0,4.0,99.0,0.536,1.2
W (30-13),0,17,31,219,1,40,164,2,4.1,77,5.0,12,7,1,20,7,70,0,0,0.273,0,4.29,61.7,0.4,29.0,25.0,105.0,0.403,1.19
W (41-13),1,19,37,219,2,39,134,3,3.4,73,4.8,10,8,1,19,6,45,1,0,0.281,0,5.86,58.0,0.75,22.0,9.0,111.0,0.451,1.07
W (33-24),1,20,65.0,210,3,43,132,1,3.1,74,4.6,9,8,2,19,6,60,0,1,0.173,1,4.0,65.8,0.6,36.0,2.0,133.0,0.411,1.16
L (15-24),1,11,55.9,74,1,35,164,1,4.7,59,4.0,6,8,3,17,5,33,1,0,0.167,1,5.67,75.2,0.5,42.0,27.0,117.0,0.421,0.97
W (42-0),0,19,69.6,303,3,39,283,2,7.3,67,8.7,12,11,0,23,4,30,0,0,0.417,1,4.56,69.0,0.5,31.0,68.0,97.0,0.473,1.49
W (56-28),0,24,35,341,4,34,160,3,4.7,69,7.3,15,10,0,25,8,57,0,0,0.231,1,1.75,72.6,0.875,22.0,33.0,85.0,0.529,1.47
W (56-10),0,30,34,393,3,28,180,4,6.4,64,9.0,18,9,0,27,11,130,0,0,0.192,1,7.0,70.8,1.0,24.0,27.0,62.0,0.645,1.34
W (48-41),1,30,36,403,6,25,95,1,3.8,65,7.7,20,5,1,26,6,53,0,1,0.159,0,5.25,62.8,1.0,27.0,30.0,67.0,0.462,1.61
L (20-48),5,23,31,199,1,37,109,1,2.9,74,4.2,13,6,4,23,9,75,2,3,0.089,0,4.0,72.1,0.667,29.0,39.0,86.0,0.366,1.4
W (50-49),1,23,40,369,2,40,137,5,3.4,80,6.3,14,6,0,20,11,101,1,0,0.165,0,5.2,62.8,1.0,36.0,50.0,77.0,0.43,1.53
L (27-36),1,20,25,306,1,25,73,3,2.9,60,6.3,13,6,3,22,6,45,1,0,0.063,0,7.0,77.1,0.5,29.0,24.0,58.0,0.397,1.88
W (42-3),0,20,25,253,4,32,191,2,6.0,57,7.8,13,13,1,27,1,10,0,0,0.267,1,6.0,67.0,0.75,44.0,15.0,78.0,0.744,1.25
W (45-24),1,15,30,286,4,37,170,2,4.6,61,7.5,10,6,0,16,10,82,1,0,0.243,0,5.43,69.8,0.667,39.0,77.0,94.0,0.41,1.66
L (14-17),0,17,24,175,1,39,176,1,4.5,64,5.5,11,10,1,22,4,50,0,0,0.125,1,2.8,81.2,0.25,40.0,33.0,117.0,0.5,1.07
L (20-33),5,22,28,254,2,28,44,0,1.6,66,4.5,10,5,2,17,3,35,2,3,0.145,0,4.0,75.4,0.25,18.0,6.0,59.0,0.379,1.22
W (58-7),2,24,25,380,1,33,155,4,4.7,65,8.2,17,7,1,25,6,75,0,2,0.371,1,4.22,65.4,1.0,23.0,28.0,48.0,0.541,1.34
W (45-7),1,24,31,313,5,30,137,1,4.6,64,7.0,16,6,3,25,3,35,1,0,0.227,1,5.43,65.5,1.0,13.0,11.0,52.0,0.5,1.24
W (73-0),0,30,33,422,3,49,220,6,4.5,82,7.8,18,13,5,36,6,65,0,0,0.409,1,6.6,70.8,1.0,27.0,1.0,81.0,0.744,1.17
W (66-17),2,30,27,476,6,28,119,2,4.3,63,9.4,18,7,2,27,7,65,1,1,0.429,0,6.0,63.5,0.75,17.0,9.0,50.0,0.592,1.6
W (50-20),1,26,35,366,3,41,157,2,3.8,80,6.5,13,13,4,30,5,35,0,1,0.226,1,4.86,71.5,0.778,31.0,26.0,79.0,0.522,1.41
W (31-29),1,25,38,253,3,46,189,1,4.1,84,5.3,13,13,4,30,6,37,0,1,0.268,1,4.0,66.1,0.833,57.0,31.0,139.0,0.512,0.94
L (24-27),3,26,39,344,1,27,148,2,5.5,64,7.7,13,8,0,21,8,54,2,1,0.086,0,2.43,75.2,1.0,32.0,78.0,48.0,0.406,1.59
W (31-24),0,18,38,224,2,34,144,1,4.2,64,5.8,10,9,1,20,6,45,0,0,0.175,0,4.0,70.0,0.667,41.0,46.0,89.0,0.438,1.3
W (56-7),0,17,24,226,3,40,205,5,5.1,64,6.7,7,13,4,24,2,19,0,0,0.333,1,7.0,64.6,0.833,31.0,40.0,89.0,0.585,1.26
W (17-3),1,10,27,107,0,42,203,2,4.8,65,4.8,3,10,3,16,5,35,1,0,0.203,0,4.25,67.0,0.857,57.0,78.0,121.0,0.385,1.21
W (40-17),0,10,23,164,0,43,193,3,4.5,56,6.4,8,9,0,17,6,40,0,0,0.236,0,4.33,60.6,0.5,44.0,51.0,112.0,0.5,1.26
W (24-21),0,10,21,238,2,42,177,1,4.2,63,6.6,7,11,0,18,5,45,0,0,0.133,1,4.25,76.7,1.0,43.0,61.0,117.0,0.375,1.71
W (42-28),0,15,13,219,0,46,288,6,6.3,69,7.3,10,17,1,28,6,50,0,0,0.14,1,5.25,65.8,1.0,76.0,57.0,193.0,0.536,1.39
W (66-10),0,19,33,259,3,33,315,5,9.5,57,10.1,9,13,0,22,3,25,0,0,0.32,1,5.9,66.3,1.0,35.0,82.0,88.0,0.571,1.6
W (27-24),0,13,21,192,2,41,114,1,2.8,64,4.8,10,7,3,20,3,36,0,0,0.217,1,3.86,68.0,0.625,37.0,22.0,103.0,0.453,1.15
W (50-24),2,38,50,466,3,37,90,3,2.4,87,6.4,21,8,1,30,3,20,2,0,0.28,0,4.09,63.8,0.75,22.0,18.0,71.0,0.493,1.18
W (64-21),1,29,33,489,6,36,229,3,6.4,74,9.7,19,10,4,33,5,56,0,1,0.286,1,6.22,73.0,1.0,9.0,1.0,45.0,0.625,1.66
L (17-25),4,20,38,204,1,19,12,0,0.6,59,3.7,6,3,2,11,4,20,2,2,0.188,0,2.5,66.6,0.667,17.0,30.0,52.0,0.293,0.83
L (24-38),0,34,35,438,1,22,57,1,2.6,71,7.0,15,6,0,21,8,53,0,0,0.056,0,2.88,76.5,0.667,16.0,10.0,57.0,0.408,1.38
L (7-10),1,24,40,241,1,24,4,0,0.2,64,3.8,11,4,1,16,5,60,0,1,0.143,1,2.33,72.0,0.8,4.0,0.0,22.0,0.375,1.1
W (56-14),2,20,33,342,2,32,127,3,4.0,65,7.2,14,7,2,23,6,51,2,0,0.382,1,5.0,73.8,1.0,21.0,6.0,56.0,0.556,1.48
W (31-17),2,24,32,269,2,39,168,2,4.3,71,6.2,12,9,0,21,7,49,0,2,0.262,1,2.4,30.3,1.0,25.0,17.0,92.0,0.485,1.22
W (41-24),0,22,70.0,296,1,39,77,3,2.0,69,5.4,14,4,4,22,3,29,0,0,0.233,0,4.25,67.7,0.333,25.0,23.0,69.0,0.368,1.49
W (41-31),0,17,72.5,273,4,43,235,1,5.5,76,6.7,7,13,4,24,14,147,0,0,0.2,1,4.86,68.2,0.6,69.0,76.0,111.0,0.432,1.28
L (42-46),1,17,73.3,310,2,47,267,4,5.7,72,8.0,10,15,0,25,8,65,1,0,0.038,0,6.0,71.3,1.0,78.0,50.0,202.0,0.577,1.12
W (47-45),1,28,67.3,342,1,44,195,3,4.4,87,6.2,15,11,4,30,3,20,0,1,0.159,1,4.5,75.4,0.556,38.0,25.0,109.0,0.462,1.27
L (20-39),3,22,51.5,254,2,21,130,1,6.2,59,6.5,14,5,2,21,9,99,1,2,0.111,0,4.2,76.7,1.0,23.0,20.0,64.0,0.464,1.17
W (38-3),1,20,25,243,1,36,250,3,6.9,61,8.1,14,10,3,27,8,60,0,1,0.303,1,4.63,72.6,1.0,46.0,61.0,119.0,0.52,1.31
W (48-7),1,28,30,349,2,36,240,5,6.7,70,8.4,15,17,0,32,5,34,1,0,0.619,1,6.13,67.1,1.0,55.0,38.0,107.0,0.744,1.0
L (20-23),5,24,34,288,1,47,165,1,3.5,83,5.5,12,10,1,23,6,80,2,3,0.077,1,2.86,72.4,1.0,24.0,4.0,155.0,0.457,1.02
W (28-20),1,24,25,151,1,38,211,2,5.6,71,5.1,8,8,2,18,8,90,0,1,0.333,1,3.33,74.0,1.0,16.0,4.0,105.0,0.343,1.39
L (6-20),4,21,36,173,0,32,119,0,3.7,70,4.2,9,9,1,19,6,55,1,3,0.178,0,1.2,70.5,0.75,34.0,16.0,99.0,0.357,0.88
L (31-38),0,24,49,327,1,26,159,3,6.1,65,7.5,14,5,2,21,5,50,0,0,0.07,1,4.43,71.2,0.6,27.0,87.0,62.0,0.4,1.75
W (73-7),1,29,41,524,6,33,143,3,4.3,74,9.0,20,11,1,32,7,65,1,0,0.576,1,6.0,61.3,0.8,35.0,5.0,76.0,0.667,1.32
W (48-23),0,10,28,251,1,37,299,5,8.1,56,9.8,8,11,0,19,5,40,0,0,0.158,1,4.36,57.3,0.857,63.0,130.0,144.0,0.561,1.64
W (55-49),0,26,19,389,4,49,317,3,6.5,88,8.0,16,16,0,32,11,121,0,0,0.133,1,5.86,75.5,0.8,72.0,98.0,158.0,0.489,1.61
W (28-21),2,10,36,202,1,56,223,3,4.0,73,5.8,7,11,3,21,11,66,0,2,0.232,0,4.67,73.2,1.0,66.0,59.0,158.0,0.425,1.22
W (38-35),0,24,39,387,2,33,131,3,4.0,66,7.8,16,7,3,26,8,61,0,0,0.115,1,6.43,85.8,0.8,43.0,18.0,84.0,0.522,1.28
W (17-7),0,14,64.0,96,1,49,211,1,4.3,75,4.1,5,15,2,22,6,30,0,0,0.104,0,4.25,71.0,1.0,65.0,44.0,163.0,0.427,0.98
W (28-7),2,17,34,175,0,30,199,3,6.6,64,5.8,9,8,0,17,7,45,2,0,0.145,1,3.33,67.2,1.0,49.0,78.0,88.0,0.406,1.43
W (38-14),0,15,21,219,0,40,268,5,6.7,60,8.1,12,13,0,25,1,15,0,0,0.234,1,6.33,72.3,0.6,47.0,61.0,109.0,0.612,1.18
W (24-3),1,4,75.0,107,2,30,194,1,6.5,42,7.2,2,7,3,12,6,33,0,1,0.214,1,3.33,69.6,0.5,31.0,107.0,71.0,0.286,1.93
